from,to,donation,weight
Joerg Schneider,Gesamt 2020,12,1
Joerg Urban,Gesamt 2015,11,1
Joern Koenig,Gesamt 2019,21,1
Joern Koenig,Gesamt 2020,11,1
Johannes Huber,Gesamt 2019,18,1
Johannes Huber,Gesamt 2020,12,1
Johannes Ross,Gesamt 2013,17,1
Johannes Ross,Gesamt 2014,12,1
Juergen Braun,Gesamt 2019,21,1
Juergen Braun,Gesamt 2018,13,1
Juergen Braun,Gesamt 2020,19,1
Juergen Pohl,Gesamt 2018,10,1
Karin Wilke,Gesamt 2019,19,1
Karin Wilke,Gesamt 2017,13,1
Karsten Hilse,Gesamt 2019,13,1
Karsten Hilse,Gesamt 2020,19,1
Karsten Woldeit,Gesamt 2020,11,1
Katrin Ebener Steiner,Gesamt 2020,10,1
Kay Gottschalk,Gesamt 2019,12,1
Kay Gottschalk,Gesamt 2018,12,1
Kay Gottschalk,Gesamt 2020,11,1
Klaus Karwahne,Gesamt 2017,11,1
Klaus Wichmann,Gesamt 2019,10,1
Kunststofftechnik Juliz GmbH,Gesamt 2016,13,1
Lars Herrmann,Gesamt 2018,12,1
Lars Kuppi,Gesamt 2020,11,1
Leif Erik Holm,Gesamt 2019,12,1
Leif Erik Holm,Gesamt 2020,11,1
Louis Werner Dornbrach,Gesamt 2019,635,3
LST Luft Sanitaer Klimatechnik GmbH,Gesamt 2017,10,1
Mario Beger,Gesamt 2019,14,1
Mario Beger,Gesamt 2017,13,1
Mario Beger,Gesamt 2020,13,1
Markus Buchheit,Gesamt 2020,16,1
Markus Frohnmaier,Gesamt 2018,17,1
Markus Wagner,Gesamt 2018,11,1
Markus Wagner,Gesamt 2020,10,1
Martin Hess,Gesamt 2019,14,1
Martin Hess,Gesamt 2018,11,1
Martin Hess,Gesamt 2020,13,1
Martin Hohmann,Gesamt 2019,10,1
Martin Hohmann,Gesamt 2017,22,1
Martin Louis Schmidt,Gesamt 2019,10,1
Martin Louis Schmidt,Gesamt 2020,11,1
Martin Reichardt,Gesamt 2019,14,1
Martin Reichardt,Gesamt 2018,13,1
Martin Reichardt,Gesamt 2020,14,1
Martin Renner,Gesamt 2019,12,1
Martin Renner,Gesamt 2018,11,1
Martin Renner,Gesamt 2020,12,1
Martin Sichert,Gesamt 2019,13,1
Michael Frisch,Gesamt 2020,11,1
Mortimer von Zitzewitz,Gesamt 2019,50,2
Mortimer von Zitzewitz,Gesamt 2018,50,2
Mortimer von Zitzewitz,Gesamt 2017,50,2
Nicole Hoechst,Gesamt 2017,10,1
Norbert Kleinwaechter,Gesamt 2019,12,1
Paul Podolay,Gesamt 2019,15,1
Paul Podolay,Gesamt 2020,12,1
Peter Boehringer,Gesamt 2018,10,1
Petr Bystron,Gesamt 2020,10,1
Prof Dr Harald Weyel,Gesamt 2019,15,1
Prof Dr Harald Weyel,Gesamt 2020,15,1
Prof Dr Michael Kaufmann,Gesamt 2019,11,1
Prof Dr Roland Vaubel,Gesamt 2013,28,1
Rainer Balzer ,Gesamt 2016,24,1
Rainer Kraft,Gesamt 2019,11,1
Rainer Podeswa,Gesamt 2018,12,1
Rainer Podeswa,Gesamt 2017,16,1
Rainer Schwarzlose,Gesamt 2019,18,1
Ralf Stadler,Gesamt 2020,14,1
Reiner Strangfeld,Gesamt 2018,9956,3
Rene Springer,Gesamt 2019,19,1
Rene Springer,Gesamt 2020,11,1
Richard Graupner,Gesamt 2019,13,1
Richard Graupner,Gesamt 2020,13,1
Robert Lambrou,Gesamt 2020,12,1
Robert Sesselmann,Gesamt 2020,16,1
Roman Reusch,Gesamt 2019,10,1
Ronald Glaeser,Gesamt 2020,14,1
Ruediger Lucassen,Gesamt 2019,13,1
Ruediger Lucassen,Gesamt 2018,13,1
Ruediger Lucassen,Gesamt 2020,15,1
Sebastian Muenzenmaier,Gesamt 2019,13,1
Sebastian Muenzenmaier,Gesamt 2018,10,1
Sebastian Muenzenmaier,Gesamt 2020,13,1
Siegbert Frank Droese,Gesamt 2019,13,1
Siegbert Frank Droese,Gesamt 2018,11,1
Siegbert Frank Droese,Gesamt 2020,13,1
so cas GmbH,Gesamt 2017,20,1
Stefan Keuter,Gesamt 2019,12,1
Stefan Keuter,Gesamt 2020,12,1
Stefan Loew,Gesamt 2019,12,1
Steffen Kotre,Gesamt 2019,18,1
Steffen Kotre,Gesamt 2020,11,1
Stephan Brandner,Gesamt 2017,12,1
Sven Tritschler,Gesamt 2019,11,1
Thomas Ehrhorn,Gesamt 2019,16,1
Thomas Ehrhorn,Gesamt 2020,13,1
Thomas Seitz,Gesamt 2019,12,1
Tino Chrupalla,Gesamt 2019,13,1
Tino Chrupalla,Gesamt 2018,12,1
Tino Chrupalla,Gesamt 2020,12,1
Tobias Keller,Gesamt 2020,12,1
Tobias Matthias Peterka,Gesamt 2019,15,1
Tobias Matthias Peterka,Gesamt 2018,16,1
Tobias Matthias Peterka,Gesamt 2020,14,1
Udo Hemmelgarn,Gesamt 2019,12,1
Udo Hemmelgarn,Gesamt 2018,14,1
Udo Hemmelgarn,Gesamt 2020,12,1
Ulrich Oehme,Gesamt 2019,13,1
Ulrich Oehme,Gesamt 2018,11,1
Ulrich Oehme,Gesamt 2020,23,1
Ulrich Wlecke,Gesamt 2013,15,1
Ulrich Wlecke,Gesamt 2014,11,1
Uwe Junge,Gesamt 2019,11,1
Uwe Junge,Gesamt 2018,17,1
Uwe Junge,Gesamt 2017,12,1
Uwe Junge,Gesamt 2020,13,1
Uwe Schulz,Gesamt 2019,12,1
Uwe Schulz,Gesamt 2020,17,1
Uwe Witt,Gesamt 2018,14,1
Uwe Witt,Gesamt 2020,10,1
Uwe Wurlitzer,Gesamt 2016,12,1
Volker Muenz,Gesamt 2019,14,1
Volker Muenz,Gesamt 2020,13,1
Volker Olenicak,Gesamt 2018,11,1
Volker Olenicak,Gesamt 2017,18,1
Volker Schnurrbusch,Gesamt 2020,10,1
Wahl Bau GmbH,Gesamt 2013,50,1
Waldemar Herdt,Gesamt 2018,14,1
Walter Haarmann,Gesamt 2014,22,1
Walter Haarmann,Gesamt 2018,28,1
Walter Haarmann,Gesamt 2016,15,1
Walter Haarmann,Gesamt 2017,18,1
Walter Hubert Kraus,Gesamt 2020,60,3
Walter Wissenbach,Gesamt 2019,10,1
Wilfried Evermann,Gesamt 2020,89,3
Winfried Stoecker,Gesamt 2019,20,1
Wolfgang Brakel,Gesamt 2018,20,1
Wolfgang Leisner,Gesamt 2018,11,1
Wolfgang von Moers,Gesamt 2016,15,1
Wolfgang von Moers,Gesamt 2017,23,1
Wolfgang Wiehle,Gesamt 2020,23,1
Wolfram Keil,Gesamt 2019,34,1
Zoz GmbH,Gesamt 2020,15,1
